File Name,File1,File3,File4,File5,File6,File7,File8,File9,Lines,Statements,% Branches,Calls,% Comments,Classes,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,num_of_tests,num_of_passed_tests,num_of_failed_tests,In_DegreeCentrality4Data,out_DegCentrality4Data,In_degCentrality4Call,Out_degCentrality4Call,CBO,IFC(Information Flow complexity),Density,Diversity,Uniqueness,DDU,No of Modified ,No of Chunks,No of Failing tests,No of Repair Actions,Exception Type,label
1,com,google,javascript,jscomp,RemoveUnusedVars.java,,,,998,392,28.8,268,30.6,4,7.75,10.29,34,8,3.33,5.42,374,8,366,1,12,0,0,13,154.29,0.394240772,0.999798207,0.202538248,0.079832722,1,8,2,1,2,Bad
2,com,google,javascript,jscomp,TypeCheck.java,,,,2009,880,39.4,633,19.8,1,42,18.05,70,7,3.02,7.95,6758,1,6757,1,1,0,0,2,19.05,0.353052766,0,0.00014828,0,3,1,3,2,18,Bad
3,com,google,javascript,jscomp,FlowSensitiveInlineVariables.java,,,,539,198,24.7,130,29.9,8,2.38,7.89,38,9,3.76,6.84,358,3,355,1,20,0,0,21,407.89,0.46829385,0.999779687,0.208314299,0.097530813,3,3,10,2,2,Bad
4,com,google,javascript,rhino,jstype,NamedType.java,,,400,154,20.8,79,30.3,2,11,5.09,10,5,2.12,2.91,6883,3,6880,1,2,0,4,7,41.09,0.3402213,0.999939584,0.512795751,0.174453497,2,3,2,3,2,Bad
5,com,google,javascript,jscomp,InlineObjectLiterals.java,,,,472,185,24.9,159,30.1,3,4,12.5,18,8,3.58,5.25,314,1,313,1,17,0,1,19,336.5,0.467477109,0.999733759,0.215650353,0.100784763,1,1,3,1,2,Bad
6,com,google,javascript,jscomp,TypeValidator.java,,,,832,277,23.8,228,31.6,2,19,5,19,6,2.23,3.82,6674,3,6671,2,6,0,0,8,149,0.342060277,0.999943635,0.47749274,0.163322093,4,3,2,2,2,Bad
7,com,google,javascript,jscomp,type,ChainableReverseAbstractInterpreter.java,,,718,288,15.3,115,20.9,7,11,2.19,10,6,2.46,1.55,6648,2,6646,0,0,0,0,0,2.19,0.351958672,0.999938666,0.483561245,0.170183135,3,2,5,3,2,Bad
8,com,google,javascript,jscomp,CollapseVariableDeclarations.java,,,,250,99,18.2,62,32.8,3,2.67,8.75,12,6,2.74,3.88,282,1,281,0,6,1,0,7,44.75,0.490295673,0.999694967,0.213376659,0.104585741,2,1,4,1,2,Bad
9,com,google,javascript,jscomp,ProcessCommonJSModules.java,,,,287,118,13.6,112,23.7,3,5.33,4.81,8,6,2.5,2.44,117,1,116,0,0,0,0,0,4.81,0.542773431,0.997001499,0.225023343,0.121770465,2,1,5,2,6,Bad
10,com,google,javascript,jscomp,NodeUtil.java,,,,3229,1603,58.6,750,27.1,11,15.09,8.36,426,7,2.89,6.81,6516,1,6515,3,2,0,0,5,44.36,0.350152589,0.999944017,0.473994638,0.165961158,1,1,2,2,2,Bad
11,com,google,javascript,jscomp,TypeCheck.java,,,,1921,833,40,586,20.1,1,41,17.46,64,7,2.99,7.71,6586,2,6584,1,11,0,0,12,138.46,0.348784358,0.999942734,0.472029703,0.164627149,1,2,3,1,2,Bad
12,com,google,javascript,jscomp,MaybeReachingVariableUse.java,,,,302,128,30.5,66,30.8,3,5,6.13,22,6,2.7,3.07,351,1,350,0,0,1,0,1,6.13,0.477662217,0.999738027,0.207810321,0.099237134,1,1,6,2,2,Bad
13,com,google,javascript,jscomp,PeepholeOptimizationsPass.java,,,,211,99,16.2,41,19.4,4,4.25,3.88,5,5,2.31,2.18,608,1,607,0,0,0,0,0,3.88,0.341548903,0.999586779,0.246840291,0.084273193,2,1,1,2,2,Bad
14,com,google,javascript,jscomp,ControlFlowAnalysis.java,,,,1058,515,44.7,320,27.1,3,14,10.29,30,7,2.92,5.1,3339,3,3336,2,15,0,0,17,910.29,0.435580538,0.999931648,0.400417827,0.174402291,1,3,2,3,2,Bad
15,com,google,javascript,jscomp,FlowSensitiveInlineVariables.java,,,,501,184,25,119,29.1,8,2.25,7.89,36,9,3.85,7,333,1,332,2,6,0,0,8,151.89,0.473784211,0.999782915,0.206872038,0.097991428,1,1,3,1,2,Bad
16,com,google,javascript,jscomp,ScopedAliases.java,,,,484,225,22.2,153,15.5,6,4,6.46,18,7,3.01,4.13,390,2,388,2,1,0,0,3,10.46,0.476601246,0.999591326,0.220947847,0.105260984,5,2,8,3,2,Good
17,com,google,javascript,jscomp,TypedScopeCreator.java,,,,2026,840,27.9,646,24.3,9,7.11,10.56,29,9,3.5,5.95,6539,1,6538,3,11,0,0,14,1099.56,0.348855404,0,0.000153186,0,2,1,5,2,6,Bad
18,com,google,javascript,jscomp,Compiler.java,,,,2493,971,12.7,829,19.1,6,15.17,9.08,37,7,3.7,3.09,6541,1,6540,1,10,0,2,13,153.08,0.338941244,0.999948258,0.471609573,0.159839664,1,1,1,2,2,Bad
19,com,google,javascript,jscomp,type,ChainableReverseAbstractInterpreter.java,,,709,284,14.8,114,20.9,7,11,2.16,10,6,2.44,1.53,6538,1,6537,1,2,0,0,3,6.16,0.345312678,0.999940557,0.471774194,0.162899926,2,1,1,1,9,Bad
20,com,google,javascript,jscomp,PeepholeSubstituteAlternateSyntax.java,,,,1722,830,32.9,598,24.3,4,13,14.62,40,9,3.73,6.9,369,1,368,1,13,0,0,14,183.62,0.440357333,0.999749617,0.235246996,0.103566802,1,1,2,3,2,Bad
21,com,google,javascript,jscomp,CheckSideEffects.java,,,,196,80,16.2,54,27,2,4.5,5.89,14,5,2.17,3.11,6529,1,6528,3,20,0,0,23,3605.89,0.347942507,0.999945292,0.474876334,0.165220623,2,1,8,4,2,Bad
22,com,google,javascript,jscomp,CheckSideEffects.java,,,,196,80,16.2,54,27,2,4.5,5.89,14,5,2.17,3.11,6529,1,6528,1,21,0,0,22,446.89,0.347918473,0.999945339,0.474876334,0.165209218,5,1,8,5,2,Bad
23,com,google,javascript,jscomp,PeepholeFoldConstants.java,,,,1542,909,50.4,402,13.2,1,35,24.49,66,7,3.37,9.86,372,1,371,0,0,0,0,0,24.49,0.434217639,0.999782628,0.231147541,0.100346522,2,1,5,2,2,Bad
24,com,google,javascript,jscomp,ScopedAliases.java,,,,413,190,22.1,132,14.3,6,3.67,5.82,18,6,2.93,4.05,380,1,379,2,14,0,1,17,905.82,0.473001342,0.998889043,0.228611898,0.108013603,4,1,4,3,2,Bad
25,com,google,javascript,jscomp,TypeInference.java,,,,1398,684,34.1,456,18.7,2,23.5,12.49,32,9,3,5.64,2896,1,2895,1,10,0,0,11,112.49,0.475800426,0.999915616,0.380805748,0.181172248,4,1,5,2,6,Bad
26,com,google,javascript,jscomp,ProcessCommonJSModules.java,,,,281,117,13.7,112,22.8,3,5.33,4.75,8,6,2.5,2.44,6489,7,6482,2,2,0,0,4,20.75,0.282168558,0.999953473,0.463905775,0.130893533,3,7,5,2,2,Good
27,com,google,javascript,rhino,IR.java,,,,585,334,29.6,203,12.1,1,63,3.51,4,4,2.13,1.11,6849,3,6846,1,2,0,0,3,7.51,0.556844612,0.998434308,0.733944954,0.408053405,3,3,6,3,11,Good
28,com,google,javascript,jscomp,InlineCostEstimator.java,,,,107,37,2.7,11,33.6,2,5.5,1.45,2,4,2.03,1.09,671,2,669,0,0,0,0,0,1.45,0.38898192,0.999741976,0.247519715,0.096255851,1,2,3,2,2,Unknown
29,com,google,javascript,jscomp,InlineObjectLiterals.java,,,,466,183,24.6,158,30,3,4,12.33,17,8,3.56,5.17,291,5,286,1,14,0,1,16,237.33,0.420891571,0.999715606,0.19631467,0.082603691,3,5,6,3,2,Bad
30,com,google,javascript,jscomp,FlowSensitiveInlineVariables.java,,,,492,180,24.4,118,29.3,8,2.25,7.67,36,9,3.82,6.83,337,3,334,0,2,1,0,3,11.67,0.448537414,0.999558429,0.209879518,0.094097247,6,3,9,6,2,Bad
31,com,google,javascript,jscomp,Compiler.java,,,,2432,948,12.4,812,19.2,6,14.67,9.18,37,7,3.74,3.07,6438,1,6437,1,9,0,2,12,130.18,0.328883722,0,0.000155594,0,1,1,1,2,2,Bad
32,com,google,javascript,jscomp,parsing,JsDocInfoParser.java,,,2362,1188,34.3,697,17.1,6,10.83,16.54,137,9,5.07,6.4,5082,4,5078,1,8,0,0,9,80.54,0.35525002,0.999918914,0.44092219,0.156624916,6,4,8,3,6,Bad
33,com,google,javascript,rhino,jstype,PrototypeObjectType.java,,,584,248,23.8,139,20.9,1,41,4.56,15,6,2.17,2.68,7221,1,7220,2,8,0,0,10,260.56,0.321160865,0.999939045,0.524294073,0.168372474,1,1,3,1,2,Bad
34,com,google,javascript,jscomp,CodeGenerator.java,,,,1228,715,36.6,483,15.2,2,17,19.53,128,9,3.81,7.65,4012,1,4011,0,0,0,0,0,19.53,0.521333462,0.999827436,0.595084088,0.310183712,3,1,5,3,23,Bad
35,com,google,javascript,jscomp,TypeInference.java,,,,1400,688,34.2,463,18.5,2,23.5,12.62,32,9,3.02,5.68,2821,1,2820,1,4,0,0,5,28.62,0.482202208,0.999906277,0.370332741,0.178558529,1,1,7,2,2,Bad
36,com,google,javascript,jscomp,InlineVariables.java,,,,727,282,26.6,219,29,6,4.67,7.96,20,7,3.33,4.46,384,1,383,0,0,0,0,0,7.96,0.367712139,0.999687228,0.201826484,0.074190836,1,1,3,2,2,Bad
37,com,google,javascript,jscomp,NodeTraversal.java,,,,684,276,14.5,141,29.2,8,6,3.94,6,5,2.07,1.91,6543,1,6542,0,0,0,0,0,3.94,0.334463849,0.99994014,0.469096282,0.156886356,3,1,5,2,21,Bad
38,com,google,javascript,jscomp,CodeConsumer.java,,,,300,119,16.8,58,28.7,1,31,2.58,11,5,1.97,2.06,4007,1,4006,1,2,0,1,4,11.58,0.334394493,0.999891168,0.405275779,0.13550724,1,1,1,2,6,Bad
39,com,google,javascript,rhino,jstype,PrototypeObjectType.java,,,553,237,22.8,130,20.3,1,40,4.43,15,5,2.11,2.6,7113,2,7111,3,7,0,0,10,445.43,0.334394493,0.999891168,0.405275779,0.13550724,3,2,5,3,6,Bad
40,com,google,javascript,jscomp,NameAnalyzer.java,,,,1802,759,29.9,479,29,21,3.1,9.35,27,7,3.1,4.66,522,2,520,1,10,0,0,11,109.35,0.525559229,0.99956613,0.656639004,0.344952959,2,2,2,2,21,Bad
41,com,google,javascript,jscomp,FunctionTypeBuilder.java,,,,849,376,25,214,19,7,5.43,7.11,124,6,2.54,8.06,6362,3,6359,1,20,0,0,21,407.11,0.427196331,0.999639656,0.202718538,0.086569409,2,3,4,3,2,Bad
42,com,google,javascript,jscomp,parsing,IRFactory.java,,,1318,751,36.2,403,9.5,2,40.5,7.36,88,6,2.84,3.38,6252,1,6251,0,0,0,0,0,7.36,0.352094158,0.999937999,0.465941466,0.164045096,2,1,3,2,2,Bad
43,com,google,javascript,jscomp,TypedScopeCreator.java,,,,1970,819,27.5,620,24.3,9,7.11,10.23,29,9,3.46,5.72,6221,2,6219,0,0,0,0,0,10.23,0.570646961,0.999874723,0.564727955,0.32221992,4,2,6,5,6,Unknown
44,com,google,javascript,jscomp,CodeConsumer.java,,,,299,118,16.9,58,28.8,1,31,2.55,10,5,1.97,2.03,3831,1,3830,2,3,0,1,6,66.55,0.372001898,0.999923247,0.419471776,0.15603232,2,1,2,1,6,Bad
45,com,google,javascript,jscomp,RemoveUnusedVars.java,,,,978,385,28.6,266,30.3,4,7.75,10.06,32,8,3.32,5.32,177,1,176,0,7,1,0,8,59.06,0.344148484,0.999881053,0.398268398,0.137047162,4,1,8,4,2,Bad
46,com,google,javascript,rhino,jstype,RecordType.java,,,281,99,30.3,72,32.7,1,9,8.67,16,6,2.54,5.11,3217,3,3214,0,0,0,0,0,8.67,0.452688442,0.998972779,0.140091116,0.063352485,1,3,9,3,2,Unknown
47,com,google,debugging,sourcemap,SourceMapConsumerV3.java,,,,724,340,19.4,175,17.3,9,5.22,5.23,65,7,2.98,5.58,6218,16,6202,2,10,0,0,12,405.23,0.562392568,0.998374037,0.575815739,0.323307949,3,16,5,2,2,Good
48,com,google,javascript,jscomp,TypedScopeCreator.java,,,,1921,800,27.5,611,24.2,9,7,10.13,32,9,3.46,5.63,6196,1,6195,1,22,0,0,23,494.13,0.366932617,0.999936572,0.455780427,0.167230097,2,1,6,2,2,Unknown
49,com,google,javascript,jscomp,MakeDeclaredNamesUnique.java,,,,594,249,20.1,135,24.6,6,7.17,3.79,29,7,2.84,2.98,1841,66,1775,0,13,0,0,13,3.79,0.366932617,0.999936572,0.455780427,0.167230097,8,66,10,4,2,Good
50,com,google,javascript,jscomp,PeepholeReplaceKnownMethods.java,,,,650,340,28.8,231,18.2,1,14,22.64,32,6,2.77,10.57,101,2,99,1,19,1,0,21,1466.64,0.34624414,0.999802801,0.262390671,0.090833316,3,2,3,3,2,Bad
51,com,google,javascript,jscomp,CodeConsumer.java,,,,292,116,16.4,56,27.7,1,31,2.48,10,5,1.97,1.97,3823,1,3822,0,2,0,0,2,2.48,0.484575439,0.997821782,0.106262986,0.051380271,1,1,2,2,6,Bad
52,com,google,javascript,jscomp,CodeGenerator.java,,,,1210,700,37,472,15.8,2,17.5,18.49,129,9,3.8,7.29,3803,1,3802,1,0,1,0,2,18.49,0.338758171,0.999873955,0.36947642,0.12514738,1,1,2,2,6,Bad
53,com,google,javascript,jscomp,InlineObjectLiterals.java,,,,443,174,24.1,152,29.8,3,4,11.67,14,8,3.49,4.92,116,1,115,1,11,0,1,13,155.67,0.340138413,0.999875401,0.367657993,0.125039025,2,1,4,1,21,Bad
54,com,google,javascript,jscomp,TypedScopeCreator.java,,,,1780,749,27.8,569,23.3,8,7.13,10.51,29,9,3.48,5.75,6965,3,6962,0,22,0,0,22,10.51,0.496134333,0.997901049,0.113716295,0.056300139,5,3,9,6,6,Bad
54,com,google,javascript,rhino,jstype,FunctionType.java,,,1103,437,24.7,283,26.3,2,30.5,5.72,16,6,2.35,3.18,6965,3,6962,0,22,0,0,22,5.72,0.320935882,0,0.000143823,0,5,3,9,6,6,Bad
55,com,google,javascript,jscomp,FunctionRewriter.java,,,,539,187,19.3,94,30.2,10,2.6,4.73,8,5,2.69,2.69,96,1,95,1,1,1,0,3,8.73,0.508134428,0.997587719,0.091611479,0.046438653,1,1,2,2,11,Bad
56,com,google,javascript,jscomp,SourceFile.java,,,,487,198,14.6,70,26.7,5,8.2,2.98,11,4,2.04,1.76,6086,3,6083,1,1,0,0,2,3.98,0.508134428,0.997587719,0.091611479,0.046438653,2,3,3,1,6,Bad
57,com,google,javascript,jscomp,ClosureCodingConvention.java,,,,403,159,22.6,104,20.6,1,23,5.17,12,6,2.39,3,6063,1,6062,0,6,0,0,6,5.17,0.314953609,0.999874186,0.425540432,0.134008633,1,1,2,2,2,Bad
58,com,google,javascript,jscomp,LiveVariablesAnalysis.java,,,,301,146,30.8,92,20.6,3,6.33,5.74,25,7,2.86,2.84,177,1,176,1,5,1,1,8,149.74,0.344931173,0.999908079,0.416798732,0.14375366,2,1,2,1,11,Bad
59,com,google,javascript,jscomp,Compiler.java,,,,2057,798,12.3,661,19.3,6,13.67,8.26,37,7,3.66,2.94,6042,1,6041,0,10,0,4,14,8.26,0.436316288,0.998571429,0.118589744,0.051668719,1,1,2,2,2,Bad
60,com,google,javascript,jscomp,NodeUtil.java,,,,3027,1457,57.1,679,28.2,11,15.09,7.5,415,7,2.83,6.28,5994,2,5992,2,0,0,0,2,7.5,0.274998493,0.999942604,0.431443506,0.118639504,3,2,4,2,2,Bad
61,com,google,javascript,jscomp,NodeUtil.java,,,,3017,1453,57,680,28.2,11,15.09,7.48,412,7,2.83,6.25,5987,3,5984,1,9,0,0,10,88.48,0.256289119,0.999944417,0.43035783,0.110289899,1,3,5,2,2,Bad
62,com,google,javascript,jscomp,LightweightMessageFormatter.java,,,,177,88,17,54,22.6,2,4.5,7.67,11,6,2.88,3,6023,2,6021,1,1,0,3,5,23.67,0.349364885,0.999926561,0.433572992,0.151464054,1,2,1,2,6,Bad
63,com,google,javascript,jscomp,LightweightMessageFormatter.java,,,,177,88,17,54,22.6,2,4.5,7.67,11,6,2.88,3,6023,2,6021,0,1,0,3,4,7.67,0.294882009,0.616974654,0.574074074,0.104444009,1,2,1,2,6,Bad
64,com,google,javascript,jscomp,Compiler.java,,,,2011,777,12.2,641,19.6,6,13.33,8.24,37,7,3.69,2.93,6004,1,6003,1,0,0,0,1,8.24,0.294882009,0.616974654,0.574074074,0.104444009,4,1,5,1,2,Bad
65,com,google,javascript,jscomp,CodeGenerator.java,,,,1210,700,37,471,15.8,2,17.5,18.49,129,9,3.8,7.26,3732,1,3731,1,0,0,0,1,18.49,0.282642544,0,0.000166889,0,1,1,1,2,6,Bad
66,com,google,javascript,jscomp,TypeCheck.java,,,,1926,858,40.4,571,20.3,1,41,18.07,63,7,2.99,7.63,5985,2,5983,2,15,0,0,17,918.07,0.33730361,0.999867502,0.3682339,0.124190166,2,2,2,1,2,Bad
67,com,google,javascript,jscomp,AnalyzePrototypeProperties.java,,,,697,286,20.6,185,24.8,12,3.67,4.05,71,9,2.86,6,134,1,133,2,5,0,0,7,104.05,0.352160951,0.999924053,0.433274544,0.152570788,1,1,2,2,2,Bad
68,com,google,javascript,jscomp,parsing,JsDocInfoParser.java,,,2306,1151,34.6,675,17.6,6,10.67,16.28,134,9,5.05,6.27,4595,1,4594,1,15,0,1,17,272.28,0.462182993,0.997980025,0.1184005,0.054612159,4,1,1,4,2,Bad
69,com,google,javascript,jscomp,TypeCheck.java,,,,1923,856,40.4,571,20.3,1,41,18.02,62,7,2.99,7.61,5985,3,5982,0,12,0,0,12,18.02,0.499511595,0.99967389,0.517131474,0.258228929,1,3,2,2,2,Bad
70,com,google,javascript,jscomp,TypedScopeCreator.java,,,,1811,776,29.1,575,22.5,8,7.38,10.64,29,9,3.51,5.78,5968,5,5963,1,9,1,0,11,334.64,0.34953598,0.999924807,0.435623557,0.152254658,1,5,1,2,2,Good
71,com,google,javascript,jscomp,CheckAccessControls.java,,,,642,240,32.1,191,23.1,1,22,8.45,23,6,2.69,5.95,5924,2,5922,0,20,0,0,20,8.45,0.34529496,0.999924628,0.435539076,0.150378112,1,2,3,3,2,Bad
72,com,google,javascript,jscomp,FunctionToBlockMutator.java,,,,449,159,17.6,104,36.3,2,7.5,8.4,7,5,2.33,3.2,420,1,419,1,0,0,0,1,8.4,0.354191569,0.99992819,0.444220817,0.157327969,2,1,3,2,2,Bad
73,com,google,javascript,jscomp,CodeGenerator.java,,,,1193,689,37.3,468,15.8,2,17,18.82,129,9,3.83,7.38,3600,1,3599,1,1,0,0,2,19.82,0.340823343,0.999868507,0.371763754,0.126689104,1,1,1,2,6,Bad
74,com,google,javascript,jscomp,PeepholeFoldConstants.java,,,,1718,1011,45.6,510,13.6,1,36,26.56,46,7,3.29,10.39,170,3,167,0,10,0,0,10,26.56,0.340823343,0.999868507,0.371763754,0.126689104,2,3,9,4,2,Bad
75,com,google,javascript,jscomp,NodeUtil.java,,,,2986,1450,57.4,671,28,11,14.91,7.57,411,7,2.85,6.3,5764,1,5763,1,0,0,0,1,7.57,0.390245531,0.999095023,0.12704918,0.049535506,3,1,5,3,2,Bad
76,com,google,javascript,jscomp,DeadAssignmentsElimination.java,,,,432,191,38.7,121,26.9,3,4,13.42,30,7,3.15,7,107,4,103,1,5,0,0,6,38.42,0.348971141,0.999923443,0.424092409,0.147984682,11,4,9,5,2,Good
